MonthYear,Negative,Neutral,Positive,MedianSentiment,PercentageNegative,PercentageNeutral,PercentagePositive,Date,TotalSentiments
2019-10,112.0,277.0,14.0,Neutral,27.791563275434246,68.73449131513648,3.4739454094292808,2019-10,403.0
2019-11,86.0,269.0,15.0,Neutral,23.243243243243246,72.70270270270271,4.054054054054054,2019-11,370.0
2019-12,78.0,240.0,36.0,Neutral,22.033898305084744,67.79661016949152,10.16949152542373,2019-12,354.0
2020-01,102.0,272.0,36.0,Neutral,24.878048780487806,66.34146341463415,8.780487804878048,2020-01,410.0
2020-02,98.0,231.0,27.0,Neutral,27.52808988764045,64.8876404494382,7.584269662921349,2020-02,356.0
2020-03,166.0,322.0,24.0,Neutral,32.421875,62.890625,4.6875,2020-03,512.0
2020-04,141.0,260.0,22.0,Neutral,33.33333333333333,61.46572104018912,5.200945626477541,2020-04,423.0
2020-05,135.0,299.0,18.0,Neutral,29.867256637168143,66.1504424778761,3.982300884955752,2020-05,452.0
2020-06,128.0,321.0,31.0,Neutral,26.666666666666668,66.875,6.458333333333334,2020-06,480.0
2020-07,110.0,298.0,42.0,Neutral,24.444444444444443,66.22222222222223,9.333333333333334,2020-07,450.0
2020-08,118.0,258.0,40.0,Neutral,28.365384615384613,62.019230769230774,9.615384615384617,2020-08,416.0
2020-09,102.0,272.0,36.0,Neutral,24.878048780487806,66.34146341463415,8.780487804878048,2020-09,410.0
2020-10,105.0,277.0,31.0,Neutral,25.423728813559322,67.07021791767555,7.506053268765134,2020-10,413.0
2020-11,82.0,267.0,51.0,Neutral,20.5,66.75,12.75,2020-11,400.0
2020-12,70.0,255.0,32.0,Neutral,19.607843137254903,71.42857142857143,8.96358543417367,2020-12,357.0
2021-01,93.0,246.0,57.0,Neutral,23.484848484848484,62.121212121212125,14.393939393939394,2021-01,396.0
2021-02,79.0,267.0,39.0,Neutral,20.51948051948052,69.35064935064935,10.129870129870131,2021-02,385.0
2021-03,89.0,290.0,53.0,Neutral,20.60185185185185,67.12962962962963,12.268518518518519,2021-03,432.0
2021-04,59.0,264.0,75.0,Neutral,14.824120603015075,66.33165829145729,18.84422110552764,2021-04,398.0
2021-05,72.0,266.0,65.0,Neutral,17.866004962779154,66.00496277915633,16.129032258064516,2021-05,403.0
2021-06,61.0,271.0,57.0,Neutral,15.681233933161954,69.66580976863753,14.652956298200515,2021-06,389.0
2021-07,86.0,245.0,60.0,Neutral,21.994884910485936,62.65984654731458,15.34526854219949,2021-07,391.0
2021-08,82.0,249.0,40.0,Neutral,22.10242587601078,67.11590296495957,10.781671159029651,2021-08,371.0
2021-09,131.0,262.0,38.0,Neutral,30.39443155452436,60.78886310904872,8.816705336426914,2021-09,431.0
2021-10,123.0,264.0,30.0,Neutral,29.496402877697843,63.30935251798561,7.194244604316546,2021-10,417.0
2021-11,85.0,274.0,37.0,Neutral,21.464646464646464,69.1919191919192,9.343434343434344,2021-11,396.0
2021-12,108.0,244.0,33.0,Neutral,28.05194805194805,63.37662337662338,8.571428571428571,2021-12,385.0
2022-01,89.0,270.0,45.0,Neutral,22.02970297029703,66.83168316831683,11.138613861386139,2022-01,404.0
2022-02,63.0,283.0,50.0,Neutral,15.909090909090908,71.46464646464646,12.626262626262626,2022-02,396.0
2022-03,94.0,298.0,35.0,Neutral,22.01405152224824,69.78922716627635,8.19672131147541,2022-03,427.0
2022-04,78.0,245.0,26.0,Neutral,22.349570200573066,70.20057306590259,7.4498567335243555,2022-04,349.0
2022-05,105.0,324.0,31.0,Neutral,22.82608695652174,70.43478260869566,6.739130434782608,2022-05,460.0
2022-06,113.0,285.0,22.0,Neutral,26.904761904761905,67.85714285714286,5.238095238095238,2022-06,420.0
2022-07,111.0,257.0,29.0,Neutral,27.95969773299748,64.73551637279597,7.304785894206549,2022-07,397.0
2022-08,118.0,326.0,33.0,Neutral,24.737945492662476,68.34381551362684,6.918238993710692,2022-08,477.0
2022-09,118.0,352.0,18.0,Neutral,24.18032786885246,72.1311475409836,3.6885245901639343,2022-09,488.0
2022-10,108.0,301.0,38.0,Neutral,24.161073825503358,67.33780760626398,8.501118568232663,2022-10,447.0
2022-11,107.0,278.0,27.0,Neutral,25.970873786407765,67.47572815533981,6.553398058252427,2022-11,412.0
2022-12,86.0,252.0,28.0,Neutral,23.497267759562842,68.85245901639344,7.650273224043716,2022-12,366.0
2023-01,55.0,179.0,28.0,Neutral,20.99236641221374,68.32061068702289,10.687022900763358,2023-01,262.0
